sample_id,image_path,class_name,context_name,split,class_id,context_id,group_id
sample_00000042,data/processed/nico/autumn/airplane/autumn_000004.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000044,data/processed/nico/autumn/airplane/autumn_0000041.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000045,data/processed/nico/autumn/airplane/autumn_0000042.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000046,data/processed/nico/autumn/airplane/autumn_0000043.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000048,data/processed/nico/autumn/airplane/autumn_0000045.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000049,data/processed/nico/autumn/airplane/autumn_0000046.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000050,data/processed/nico/autumn/airplane/autumn_0000047.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000051,data/processed/nico/autumn/airplane/autumn_0000048.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000052,data/processed/nico/autumn/airplane/autumn_0000049.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000054,data/processed/nico/autumn/airplane/autumn_0000050.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000055,data/processed/nico/autumn/airplane/autumn_0000051.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000056,data/processed/nico/autumn/airplane/autumn_0000052.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000057,data/processed/nico/autumn/airplane/autumn_0000053.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000058,data/processed/nico/autumn/airplane/autumn_000006.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000059,data/processed/nico/autumn/airplane/autumn_000007.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000060,data/processed/nico/autumn/airplane/autumn_000008.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000061,data/processed/nico/autumn/airplane/autumn_000009.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000065,data/processed/nico/autumn/airplane/autumn_000013.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000066,data/processed/nico/autumn/airplane/autumn_000014.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000068,data/processed/nico/autumn/airplane/autumn_000016.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000069,data/processed/nico/autumn/airplane/autumn_000017.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000070,data/processed/nico/autumn/airplane/autumn_000018.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000071,data/processed/nico/autumn/airplane/autumn_000019.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000072,data/processed/nico/autumn/airplane/autumn_000020.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000073,data/processed/nico/autumn/airplane/autumn_000021.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000074,data/processed/nico/autumn/airplane/autumn_000022.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000075,data/processed/nico/autumn/airplane/autumn_000023.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000076,data/processed/nico/autumn/airplane/autumn_000024.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000077,data/processed/nico/autumn/airplane/autumn_000025.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000078,data/processed/nico/autumn/airplane/autumn_000026.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000079,data/processed/nico/autumn/airplane/autumn_000027.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000080,data/processed/nico/autumn/airplane/autumn_000028.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000081,data/processed/nico/autumn/airplane/autumn_000029.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000083,data/processed/nico/autumn/airplane/autumn_000031.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000084,data/processed/nico/autumn/airplane/autumn_000032.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000088,data/processed/nico/autumn/airplane/autumn_000036.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000089,data/processed/nico/autumn/airplane/autumn_000037.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000090,data/processed/nico/autumn/airplane/autumn_000038.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000092,data/processed/nico/autumn/airplane/autumn_000040.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000093,data/processed/nico/autumn/airplane/autumn_000041.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000096,data/processed/nico/autumn/airplane/autumn_000046.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000097,data/processed/nico/autumn/airplane/autumn_000047.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000100,data/processed/nico/autumn/airplane/autumn_000050.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000101,data/processed/nico/autumn/airplane/autumn_000051.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000105,data/processed/nico/autumn/airplane/autumn_000055.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000106,data/processed/nico/autumn/airplane/autumn_000056.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000107,data/processed/nico/autumn/airplane/autumn_000057.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000108,data/processed/nico/autumn/airplane/autumn_000058.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000109,data/processed/nico/autumn/airplane/autumn_000059.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000110,data/processed/nico/autumn/airplane/autumn_000060.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000111,data/processed/nico/autumn/airplane/autumn_000061.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000113,data/processed/nico/autumn/airplane/autumn_000063.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000114,data/processed/nico/autumn/airplane/autumn_000064.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000115,data/processed/nico/autumn/airplane/autumn_000065.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000116,data/processed/nico/autumn/airplane/autumn_000066.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000117,data/processed/nico/autumn/airplane/autumn_000067.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000118,data/processed/nico/autumn/airplane/autumn_000068.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000119,data/processed/nico/autumn/airplane/autumn_000069.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000123,data/processed/nico/autumn/airplane/autumn_000073.jpg,airplane,autumn,train,0,0,airplane__autumn
sample_00000124,data/processed/nico/autumn/bear/autumn_000001.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000127,data/processed/nico/autumn/bear/autumn_000004.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000128,data/processed/nico/autumn/bear/autumn_000005.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000129,data/processed/nico/autumn/bear/autumn_000006.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000131,data/processed/nico/autumn/bear/autumn_000008.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000135,data/processed/nico/autumn/bear/autumn_000012.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000136,data/processed/nico/autumn/bear/autumn_000013.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000138,data/processed/nico/autumn/bear/autumn_000015.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000139,data/processed/nico/autumn/bear/autumn_000016.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000141,data/processed/nico/autumn/bear/autumn_000018.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000142,data/processed/nico/autumn/bear/autumn_000019.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000143,data/processed/nico/autumn/bear/autumn_000020.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000146,data/processed/nico/autumn/bear/autumn_000023.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000147,data/processed/nico/autumn/bear/autumn_000024.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000149,data/processed/nico/autumn/bear/autumn_000026.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000150,data/processed/nico/autumn/bear/autumn_000027.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000153,data/processed/nico/autumn/bear/autumn_000030.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000154,data/processed/nico/autumn/bear/autumn_000031.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000155,data/processed/nico/autumn/bear/autumn_000032.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000156,data/processed/nico/autumn/bear/autumn_000033.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000159,data/processed/nico/autumn/bear/autumn_000036.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000164,data/processed/nico/autumn/bear/autumn_000041.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000165,data/processed/nico/autumn/bear/autumn_000042.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000166,data/processed/nico/autumn/bear/autumn_000043.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000167,data/processed/nico/autumn/bear/autumn_000044.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000168,data/processed/nico/autumn/bear/autumn_000045.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000169,data/processed/nico/autumn/bear/autumn_000046.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000170,data/processed/nico/autumn/bear/autumn_000047.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000171,data/processed/nico/autumn/bear/autumn_000048.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000172,data/processed/nico/autumn/bear/autumn_000049.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000173,data/processed/nico/autumn/bear/autumn_000050.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000175,data/processed/nico/autumn/bear/autumn_000052.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000176,data/processed/nico/autumn/bear/autumn_000053.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000177,data/processed/nico/autumn/bear/autumn_000054.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000178,data/processed/nico/autumn/bear/autumn_000055.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000179,data/processed/nico/autumn/bear/autumn_000056.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000180,data/processed/nico/autumn/bear/autumn_000057.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000183,data/processed/nico/autumn/bear/autumn_000060.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000184,data/processed/nico/autumn/bear/autumn_000061.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000187,data/processed/nico/autumn/bear/autumn_000064.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000188,data/processed/nico/autumn/bear/autumn_000065.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000189,data/processed/nico/autumn/bear/autumn_000066.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000190,data/processed/nico/autumn/bear/autumn_000067.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000191,data/processed/nico/autumn/bear/autumn_000068.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000192,data/processed/nico/autumn/bear/autumn_000069.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000193,data/processed/nico/autumn/bear/autumn_000070.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000194,data/processed/nico/autumn/bear/autumn_000071.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000196,data/processed/nico/autumn/bear/autumn_000073.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000197,data/processed/nico/autumn/bear/autumn_000074.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000198,data/processed/nico/autumn/bear/autumn_000075.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000199,data/processed/nico/autumn/bear/autumn_000076.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000200,data/processed/nico/autumn/bear/autumn_000077.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000201,data/processed/nico/autumn/bear/autumn_000078.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000203,data/processed/nico/autumn/bear/autumn_000080.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000204,data/processed/nico/autumn/bear/autumn_000081.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000206,data/processed/nico/autumn/bear/autumn_000084.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000208,data/processed/nico/autumn/bear/autumn_000086.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000209,data/processed/nico/autumn/bear/autumn_000087.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000211,data/processed/nico/autumn/bear/autumn_000089.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000212,data/processed/nico/autumn/bear/autumn_000090.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000214,data/processed/nico/autumn/bear/autumn_000092.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000216,data/processed/nico/autumn/bear/autumn_000094.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000217,data/processed/nico/autumn/bear/autumn_000095.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000221,data/processed/nico/autumn/bear/autumn_000099.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000222,data/processed/nico/autumn/bear/autumn_000100.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000223,data/processed/nico/autumn/bear/autumn_000101.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000224,data/processed/nico/autumn/bear/autumn_000102.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000226,data/processed/nico/autumn/bear/autumn_000104.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000227,data/processed/nico/autumn/bear/autumn_000105.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000228,data/processed/nico/autumn/bear/autumn_000106.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000230,data/processed/nico/autumn/bear/autumn_000108.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000231,data/processed/nico/autumn/bear/autumn_000109.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000235,data/processed/nico/autumn/bear/autumn_000113.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000236,data/processed/nico/autumn/bear/autumn_000114.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000237,data/processed/nico/autumn/bear/autumn_000115.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000241,data/processed/nico/autumn/bear/autumn_000119.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000242,data/processed/nico/autumn/bear/autumn_000120.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000244,data/processed/nico/autumn/bear/autumn_000122.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000246,data/processed/nico/autumn/bear/autumn_000124.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000247,data/processed/nico/autumn/bear/autumn_000125.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000249,data/processed/nico/autumn/bear/autumn_000127.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000250,data/processed/nico/autumn/bear/autumn_000128.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000251,data/processed/nico/autumn/bear/autumn_000129.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000252,data/processed/nico/autumn/bear/autumn_000130.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000253,data/processed/nico/autumn/bear/autumn_000131.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000254,data/processed/nico/autumn/bear/autumn_000132.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000255,data/processed/nico/autumn/bear/autumn_000133.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000257,data/processed/nico/autumn/bear/autumn_000135.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000258,data/processed/nico/autumn/bear/autumn_000136.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000259,data/processed/nico/autumn/bear/autumn_000137.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000262,data/processed/nico/autumn/bear/autumn_000140.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000263,data/processed/nico/autumn/bear/autumn_000141.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000264,data/processed/nico/autumn/bear/autumn_000142.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000265,data/processed/nico/autumn/bear/autumn_000143.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000267,data/processed/nico/autumn/bear/autumn_000145.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000268,data/processed/nico/autumn/bear/autumn_000146.jpg,bear,autumn,train,1,0,bear__autumn
sample_00000270,data/processed/nico/autumn/bicycle/autumn_000002.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000271,data/processed/nico/autumn/bicycle/autumn_000003.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000274,data/processed/nico/autumn/bicycle/autumn_000006.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000275,data/processed/nico/autumn/bicycle/autumn_000007.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000276,data/processed/nico/autumn/bicycle/autumn_000008.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000277,data/processed/nico/autumn/bicycle/autumn_000009.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000278,data/processed/nico/autumn/bicycle/autumn_000010.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000279,data/processed/nico/autumn/bicycle/autumn_000011.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000280,data/processed/nico/autumn/bicycle/autumn_000012.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000281,data/processed/nico/autumn/bicycle/autumn_000013.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000282,data/processed/nico/autumn/bicycle/autumn_000014.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000283,data/processed/nico/autumn/bicycle/autumn_000015.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000284,data/processed/nico/autumn/bicycle/autumn_000016.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000285,data/processed/nico/autumn/bicycle/autumn_000017.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000286,data/processed/nico/autumn/bicycle/autumn_000018.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000288,data/processed/nico/autumn/bicycle/autumn_000020.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000289,data/processed/nico/autumn/bicycle/autumn_000021.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000292,data/processed/nico/autumn/bicycle/autumn_000024.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000294,data/processed/nico/autumn/bicycle/autumn_000026.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000295,data/processed/nico/autumn/bicycle/autumn_000027.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000297,data/processed/nico/autumn/bicycle/autumn_000029.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000298,data/processed/nico/autumn/bicycle/autumn_000030.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000300,data/processed/nico/autumn/bicycle/autumn_000032.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000302,data/processed/nico/autumn/bicycle/autumn_000034.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000303,data/processed/nico/autumn/bicycle/autumn_000035.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000304,data/processed/nico/autumn/bicycle/autumn_000036.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000305,data/processed/nico/autumn/bicycle/autumn_000037.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000308,data/processed/nico/autumn/bicycle/autumn_000040.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000309,data/processed/nico/autumn/bicycle/autumn_000041.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000311,data/processed/nico/autumn/bicycle/autumn_000043.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000312,data/processed/nico/autumn/bicycle/autumn_000044.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000314,data/processed/nico/autumn/bicycle/autumn_000046.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000315,data/processed/nico/autumn/bicycle/autumn_000047.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000316,data/processed/nico/autumn/bicycle/autumn_000048.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000317,data/processed/nico/autumn/bicycle/autumn_000049.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000318,data/processed/nico/autumn/bicycle/autumn_000050.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000320,data/processed/nico/autumn/bicycle/autumn_000052.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000322,data/processed/nico/autumn/bicycle/autumn_000054.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000323,data/processed/nico/autumn/bicycle/autumn_000055.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000324,data/processed/nico/autumn/bicycle/autumn_000056.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000326,data/processed/nico/autumn/bicycle/autumn_000058.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000328,data/processed/nico/autumn/bicycle/autumn_000060.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000330,data/processed/nico/autumn/bicycle/autumn_000062.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000331,data/processed/nico/autumn/bicycle/autumn_000063.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000335,data/processed/nico/autumn/bicycle/autumn_000067.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000337,data/processed/nico/autumn/bicycle/autumn_000069.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000338,data/processed/nico/autumn/bicycle/autumn_000070.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000339,data/processed/nico/autumn/bicycle/autumn_000071.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000340,data/processed/nico/autumn/bicycle/autumn_000072.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000343,data/processed/nico/autumn/bicycle/autumn_000075.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000344,data/processed/nico/autumn/bicycle/autumn_000076.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000346,data/processed/nico/autumn/bicycle/autumn_000078.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000347,data/processed/nico/autumn/bicycle/autumn_000079.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000348,data/processed/nico/autumn/bicycle/autumn_000080.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000349,data/processed/nico/autumn/bicycle/autumn_000081.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000352,data/processed/nico/autumn/bicycle/autumn_000084.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000354,data/processed/nico/autumn/bicycle/autumn_000086.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000355,data/processed/nico/autumn/bicycle/autumn_000087.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000356,data/processed/nico/autumn/bicycle/autumn_000088.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000357,data/processed/nico/autumn/bicycle/autumn_000089.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000359,data/processed/nico/autumn/bicycle/autumn_000091.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000361,data/processed/nico/autumn/bicycle/autumn_000093.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000363,data/processed/nico/autumn/bicycle/autumn_000095.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000364,data/processed/nico/autumn/bicycle/autumn_000096.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000365,data/processed/nico/autumn/bicycle/autumn_000097.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000367,data/processed/nico/autumn/bicycle/autumn_000099.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000368,data/processed/nico/autumn/bicycle/autumn_000100.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000369,data/processed/nico/autumn/bicycle/autumn_000101.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000371,data/processed/nico/autumn/bicycle/autumn_000103.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000373,data/processed/nico/autumn/bicycle/autumn_000105.jpg,bicycle,autumn,train,2,0,bicycle__autumn
sample_00000374,data/processed/nico/autumn/bicycle/autumn_000106.jpg,bicycle,autumn,train,2,0,bicycle__autumn
